episode_number,title,views,length,video_id,publish_date,url,guest_names,episode_title
380.0,Neil Gershenfeld: Self-Replicating Robots and the Future of Fabrication | Lex Fridman Podcast #380,1077473,7624,YDjOS0VHEr4,2023-05-28 00:00:00,https://www.youtube.com/watch?v=YDjOS0VHEr4,Neil Gershenfeld,Self-Replicating Robots and the Future of Fabrication
381.0,Chris Lattner: Future of Programming and AI | Lex Fridman Podcast #381,1395168,12843,pdJQ8iVTwj8,2023-06-02 00:00:00,https://www.youtube.com/watch?v=pdJQ8iVTwj8,Chris Lattner,Future of Programming and AI
382.0,"Bert Kreischer: Comedy, Drinking, Rogan, Segura, Churchill & Kim Jong Un | Lex Fridman Podcast #382",525691,7684,8TmV6KEYkK0,2023-06-05 00:00:00,https://www.youtube.com/watch?v=8TmV6KEYkK0,Bert Kreischer,"Comedy, Drinking, Rogan, Segura, Churchill & Kim Jong Un"
383.0,"Mark Zuckerberg: Future of AI at Meta, Facebook, Instagram, and WhatsApp | Lex Fridman Podcast #383",1664873,9718,Ff4fRgnuFgQ,2023-06-08 00:00:00,https://www.youtube.com/watch?v=Ff4fRgnuFgQ,Mark Zuckerberg,"Future of AI at Meta, Facebook, Instagram, and WhatsApp"
384.0,"Matthew McConaughey: Freedom, Truth, Family, Hardship, and Love | Lex Fridman Podcast #384",1532503,8340,8qgIFD0PaWo,2023-06-13 00:00:00,https://www.youtube.com/watch?v=8qgIFD0PaWo,Matthew McConaughey,"Freedom, Truth, Family, Hardship, and Love"
385.0,Jimmy Wales: Wikipedia | Lex Fridman Podcast #385,468021,11707,diJp4zoQPqo,2023-06-18 00:00:00,https://www.youtube.com/watch?v=diJp4zoQPqo,Jimmy Wales,Wikipedia
386.0,"Marc Andreessen: Future of the Internet, Technology, and AI | Lex Fridman Podcast #386",1254715,11495,-hxeDjAxvJ8,2023-06-21 00:00:00,https://www.youtube.com/watch?v=-hxeDjAxvJ8,Marc Andreessen,"Future of the Internet, Technology, and AI"
387.0,"George Hotz: Tiny Corp, Twitter, AI Safety, Self-Driving, GPT, AGI & God | Lex Fridman Podcast #387",1315814,11326,dNrTrx42DGQ,2023-06-29 00:00:00,https://www.youtube.com/watch?v=dNrTrx42DGQ,George Hotz,"Tiny Corp, Twitter, AI Safety, Self-Driving, GPT, AGI & God"
388.0,"Robert F. Kennedy Jr: CIA, Power, Corruption, War, Freedom, and Meaning | Lex Fridman Podcast #388",3218660,8917,NPtBkw5uD-0,2023-07-06 00:00:00,https://www.youtube.com/watch?v=NPtBkw5uD-0,Robert F. Kennedy Jr,"CIA, Power, Corruption, War, Freedom, and Meaning"
389.0,"Benjamin Netanyahu: Israel, Palestine, Power, Corruption, Hate, and Peace | Lex Fridman Podcast #389",1300211,4271,XpC7SVDXimg,2023-07-12 00:00:00,https://www.youtube.com/watch?v=XpC7SVDXimg,Benjamin Netanyahu,"Israel, Palestine, Power, Corruption, Hate, and Peace"
390.0,"Yuval Noah Harari: Human Nature, Intelligence, Power, and Conspiracies | Lex Fridman Podcast #390",1672691,9887,Mde2q7GFCrw,2023-07-17 00:00:00,https://www.youtube.com/watch?v=Mde2q7GFCrw,Yuval Noah Harari,"Human Nature, Intelligence, Power, and Conspiracies"
391.0,Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,722160,8082,34wA_bdG6QQ,2023-07-24 00:00:00,https://www.youtube.com/watch?v=34wA_bdG6QQ,Mohammed El-Kurd,Palestine
392.0,"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",604853,10425,e8qJsk1j2zE,2023-08-01 00:00:00,https://www.youtube.com/watch?v=e8qJsk1j2zE,Joscha Bach,"Life, Intelligence, Consciousness, AI & the Future of Humans"
393.0,"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",1587112,7942,eTBAxD6lt2g,2023-08-17 00:00:00,https://www.youtube.com/watch?v=eTBAxD6lt2g,Andrew Huberman,"Relationships, Drama, Betrayal, Sex, and Love"
394.0,"Neri Oxman: Biology, Art, and Science of Design & Engineering with Nature | Lex Fridman Podcast #394",753618,8305,XbPHojL_61U,2023-09-01 00:00:00,https://www.youtube.com/watch?v=XbPHojL_61U,Neri Oxman,"Biology, Art, and Science of Design & Engineering with Nature"
395.0,"Walter Isaacson: Elon Musk, Steve Jobs, Einstein, Da Vinci & Ben Franklin | Lex Fridman Podcast #395",1291116,7669,aGOV5R7M1Js,2023-09-10 00:00:00,https://www.youtube.com/watch?v=aGOV5R7M1Js,Walter Isaacson,"Elon Musk, Steve Jobs, Einstein, Da Vinci & Ben Franklin"
396.0,"James Sexton: Divorce Lawyer on Marriage, Relationships, Sex, Lies & Love | Lex Fridman Podcast #396",3548397,13476,fUEjCXpOjPY,2023-09-17 00:00:00,https://www.youtube.com/watch?v=fUEjCXpOjPY,James Sexton,"Divorce Lawyer on Marriage, Relationships, Sex, Lies & Love"
397.0,"Greg Lukianoff: Cancel Culture, Deplatforming, Censorship & Free Speech | Lex Fridman Podcast #397",602202,9118,buarAx_u2qg,2023-09-24 00:00:00,https://www.youtube.com/watch?v=buarAx_u2qg,Greg Lukianoff,"Cancel Culture, Deplatforming, Censorship & Free Speech"
398.0,Mark Zuckerberg: First Interview in the Metaverse | Lex Fridman Podcast #398,2671214,3878,MVYrJJNdrEg,2023-09-28 00:00:00,https://www.youtube.com/watch?v=MVYrJJNdrEg,Mark Zuckerberg,First Interview in the Metaverse
399.0,"Jared Kushner: Israel, Palestine, Hamas, Gaza, Iran, and the Middle East | Lex Fridman Podcast #399",1864152,13719,co_MeKSnyAo,2023-10-11 00:00:00,https://www.youtube.com/watch?v=co_MeKSnyAo,Jared Kushner,"Israel, Palestine, Hamas, Gaza, Iran, and the Middle East"
400.0,"Elon Musk: War, AI, Aliens, Politics, Physics, Video Games, and Humanity | Lex Fridman Podcast #400",7790782,8206,JN3KPFbWCy8,2023-11-09 00:00:00,https://www.youtube.com/watch?v=JN3KPFbWCy8,Elon Musk,"War, AI, Aliens, Politics, Physics, Video Games, and Humanity"
401.0,"John Mearsheimer: Israel-Palestine, Russia-Ukraine, China, NATO, and WW3 | Lex Fridman Podcast #401",4254984,12401,r4wLXNydzeY,2023-11-17 00:00:00,https://www.youtube.com/watch?v=r4wLXNydzeY,John Mearsheimer,"Israel-Palestine, Russia-Ukraine, China, NATO, and WW3"
402.0,Michael Malice: Thanksgiving Pirate Special | Lex Fridman Podcast #402,461060,5942,2yHr9DPnSzk,2023-11-25 00:00:00,https://www.youtube.com/watch?v=2yHr9DPnSzk,Michael Malice,Thanksgiving Pirate Special
403.0,"Lisa Randall: Dark Matter, Theoretical Physics, and Extinction Events | Lex Fridman Podcast #403",413221,3564,VPaOy3G1-2A,2023-12-03 00:00:00,https://www.youtube.com/watch?v=VPaOy3G1-2A,Lisa Randall,"Dark Matter, Theoretical Physics, and Extinction Events"
404.0,Lee Cronin: Controversial Nature Paper on Evolution of Life and Universe | Lex Fridman Podcast #404,968485,11961,CGiDqhSdLHk,2023-12-09 00:00:00,https://www.youtube.com/watch?v=CGiDqhSdLHk,Lee Cronin,Controversial Nature Paper on Evolution of Life and Universe
405.0,Jeff Bezos: Amazon and Blue Origin | Lex Fridman Podcast #405,3519791,7892,DcWqzZ3I2cY,2023-12-14 00:00:00,https://www.youtube.com/watch?v=DcWqzZ3I2cY,Jeff Bezos,Amazon and Blue Origin
406.0,"Teddy Atlas: Mike Tyson, Cus D'Amato, Boxing, Loyalty, Fear & Greatness | Lex Fridman Podcast #406",461714,7749,CVx9IB_U9X4,2023-12-24 00:00:00,https://www.youtube.com/watch?v=CVx9IB_U9X4,Teddy Atlas,"Mike Tyson, Cus D'Amato, Boxing, Loyalty, Fear & Greatness"
407.0,"Guillaume Verdon: Beff Jezos, E/acc Movement, Physics, Computation & AGI | Lex Fridman Podcast #407",425861,10389,8fEEbKJoNbU,2023-12-29 00:00:00,https://www.youtube.com/watch?v=8fEEbKJoNbU,Guillaume Verdon,"Beff Jezos, E/acc Movement, Physics, Computation & AGI"
408.0,"Tal Wilkenfeld: Music, Guitar, Bass, Jeff Beck, Prince, and Leonard Cohen | Lex Fridman Podcast #408",348792,6608,9qfwPv7clEw,2024-01-09 00:00:00,https://www.youtube.com/watch?v=9qfwPv7clEw,Tal Wilkenfeld,"Music, Guitar, Bass, Jeff Beck, Prince, and Leonard Cohen"
409.0,Matthew Cox: FBI Most Wanted Con Man - $55 Million in Bank Fraud | Lex Fridman Podcast #409,492392,21654,zMYvGf7BA9o,2024-01-17 00:00:00,https://www.youtube.com/watch?v=zMYvGf7BA9o,Matthew Cox,FBI Most Wanted Con Man - $55 Million in Bank Fraud
