title,views,length,video_id,publish_date,url
"Randall Kennedy: The N-Word - History of Race, Law, Politics, and Power | Lex Fridman Podcast #379",331522,11404,iFXGpKf9VBU,2023-05-24 00:00:00,https://www.youtube.com/watch?v=iFXGpKf9VBU
"Anna Frebel: Origin and Evolution of the Universe, Galaxies, and Stars | Lex Fridman Podcast #378",555960,8329,IQnUa5Bq5x4,2023-05-18 00:00:00,https://www.youtube.com/watch?v=IQnUa5Bq5x4
Harvey Silverglate: Freedom of Speech | Lex Fridman Podcast #377,166528,6672,DgTjSrrf6GQ,2023-05-15 00:00:00,https://www.youtube.com/watch?v=DgTjSrrf6GQ
"Stephen Wolfram: ChatGPT and the Nature of Truth, Reality & Computation | Lex Fridman Podcast #376",787556,15273,PdE-waSx-d8,2023-05-09 00:00:00,https://www.youtube.com/watch?v=PdE-waSx-d8
"David Pakman: Politics of Trump, Biden, Bernie, AOC, Socialism & Wokeism | Lex Fridman Podcast #375",950831,12663,2i31fDkaK9A,2023-05-06 00:00:00,https://www.youtube.com/watch?v=2i31fDkaK9A
Robert Playter: Boston Dynamics CEO on Humanoid and Legged Robotics | Lex Fridman Podcast #374,1008278,8878,cLVdsZ3I5os,2023-04-28 00:00:00,https://www.youtube.com/watch?v=cLVdsZ3I5os
Manolis Kellis: Evolution of Human Civilization and Superintelligent AI | Lex Fridman Podcast #373,620414,9028,wMavKrA-4do,2023-04-21 00:00:00,https://www.youtube.com/watch?v=wMavKrA-4do
"Simone Giertz: Queen of Sh*tty Robots, Innovative Engineering, and Design | Lex Fridman Podcast #372",341003,7153,OgIo36F6Fsg,2023-04-16 00:00:00,https://www.youtube.com/watch?v=OgIo36F6Fsg
Max Tegmark: The Case for Halting AI Development | Lex Fridman Podcast #371,1414100,10092,VcVfceTsD0A,2023-04-13 00:00:00,https://www.youtube.com/watch?v=VcVfceTsD0A
"Paul Rosolie: Amazon Jungle, Uncontacted Tribes, Anacondas, and Ayahuasca | Lex Fridman Podcast #369",8748474,12898,gPfriiHBBek,2023-04-04 00:00:00,https://www.youtube.com/watch?v=gPfriiHBBek
Eliezer Yudkowsky: Dangers of AI and the End of Human Civilization | Lex Fridman Podcast #368,1811244,11871,AaTRHFaaPG8,2023-03-30 00:00:00,https://www.youtube.com/watch?v=AaTRHFaaPG8
"Sam Altman: OpenAI CEO on GPT-4, ChatGPT, and the Future of AI | Lex Fridman Podcast #367",6207117,8636,L_Guz73e6fw,2023-03-25 00:00:00,https://www.youtube.com/watch?v=L_Guz73e6fw
"Shannon Curry: Johnny Depp & Amber Heard Trial, Marriage, Dating & Love | Lex Fridman Podcast #366",2314424,6402,qtOKrG_wK5A,2023-03-21 00:00:00,https://www.youtube.com/watch?v=qtOKrG_wK5A
"Sam Harris: Trump, Pandemic, Twitter, Elon, Bret, IDW, Kanye, AI & UFOs | Lex Fridman Podcast #365",1439736,16066,Qyrjgf-_Vdk,2023-03-14 00:00:00,https://www.youtube.com/watch?v=Qyrjgf-_Vdk
Chris Voss: FBI Hostage Negotiator | Lex Fridman Podcast #364,1565899,7817,8EguLJgkc54,2023-03-10 00:00:00,https://www.youtube.com/watch?v=8EguLJgkc54
"B-Team Jiu Jitsu: Craig Jones, Nicky Rod, and Nicky Ryan | Lex Fridman Podcast #363",1085193,10203,hLZ6PACCBy8,2023-03-06 00:00:00,https://www.youtube.com/watch?v=hLZ6PACCBy8
"Ginni Rometty: IBM CEO on Leadership, Power, and Adversity | Lex Fridman Podcast #362",473250,6735,XiCxj-bXu5M,2023-03-02 00:00:00,https://www.youtube.com/watch?v=XiCxj-bXu5M
Aaron Smith-Levin: Scientology | Lex Fridman Podcast #361,2904654,7987,J1lN9zkK_k0,2023-02-25 00:00:00,https://www.youtube.com/watch?v=J1lN9zkK_k0
"Tim Urban: Tribalism, Marxism, Liberalism, Social Justice, and Politics | Lex Fridman Podcast #360",1598246,11238,GkZz2I6sK08,2023-02-20 00:00:00,https://www.youtube.com/watch?v=GkZz2I6sK08
Lex Fridman plays Red Dead Redemption 2,897384,3676,U6-TaGK_d4o,2023-02-18 00:00:00,https://www.youtube.com/watch?v=U6-TaGK_d4o
"Andrew Strominger: Black Holes, Quantum Gravity, and Theoretical Physics | Lex Fridman Podcast #359",1914441,8374,y3cw_9ELpQw,2023-02-15 00:00:00,https://www.youtube.com/watch?v=y3cw_9ELpQw
"Aella: Sex Work, OnlyFans, Porn, Escorting, Dating, and Human Sexuality | Lex Fridman Podcast #358",1406607,14269,cFSrxSBrgSc,2023-02-10 00:00:00,https://www.youtube.com/watch?v=cFSrxSBrgSc
"Paul Conti: Narcissism, Sociopathy, Envy, and the Nature of Good and Evil | Lex Fridman Podcast #357",2773206,11847,jRBksDVs4tg,2023-02-07 00:00:00,https://www.youtube.com/watch?v=jRBksDVs4tg
"Tim Dodd: SpaceX, Starship, Rocket Engines, and Future of Space Travel | Lex Fridman Podcast #356",691984,18944,5eK5A_43pkE,2023-02-02 00:00:00,https://www.youtube.com/watch?v=5eK5A_43pkE
David Kipping: Alien Civilizations and Habitable Worlds | Lex Fridman Podcast #355,7901609,13629,uZN5xjoS6TU,2023-01-28 00:00:00,https://www.youtube.com/watch?v=uZN5xjoS6TU
"Jeremi Suri: Civil War, Slavery, Freedom, and Democracy | Lex Fridman Podcast #354",1766894,10793,GvX-heRWFfA,2023-01-25 00:00:00,https://www.youtube.com/watch?v=GvX-heRWFfA
Dennis Whyte: Nuclear Fusion and the Future of Energy | Lex Fridman Podcast #353,3949236,11287,aJoRMFWn2Jk,2023-01-21 00:00:00,https://www.youtube.com/watch?v=aJoRMFWn2Jk
Omar Suleiman: Islam | Lex Fridman Podcast #352,1905425,10972,BOKCNUqbpH0,2023-01-17 00:00:00,https://www.youtube.com/watch?v=BOKCNUqbpH0
"MrBeast: Future of YouTube, Twitter, TikTok, and Instagram | Lex Fridman Podcast #351",4666118,8266,Z3_PwvvfxIU,2023-01-11 00:00:00,https://www.youtube.com/watch?v=Z3_PwvvfxIU
1984 by George Orwell | Lex Fridman,1618249,3465,7Sk6lTLSZcA,2023-01-08 00:00:00,https://www.youtube.com/watch?v=7Sk6lTLSZcA
"Betül Kaçar: Origin of Life, Ancient DNA, Panspermia, and Aliens | Lex Fridman Podcast #350",934365,9618,NXU_M4030nE,2022-12-29 00:00:00,https://www.youtube.com/watch?v=NXU_M4030nE
Bhaskar Sunkara: Socialism and Communism | Lex Fridman Podcast #349,476714,13354,pNlfHgHJweQ,2022-12-22 00:00:00,https://www.youtube.com/watch?v=pNlfHgHJweQ
Nathalie Cabrol: Search for Alien Life | Lex Fridman Podcast #348,426288,7585,yyBosLx7bbM,2022-12-19 00:00:00,https://www.youtube.com/watch?v=yyBosLx7bbM
Michael Malice: Christmas Special | Lex Fridman Podcast #347,1291871,13253,NUkXluf3OYA,2022-12-15 00:00:00,https://www.youtube.com/watch?v=NUkXluf3OYA
Ed Calderon: Mexican Drug Cartels | Lex Fridman Podcast #346,1253907,14721,9PIOoJMMptA,2022-12-12 00:00:00,https://www.youtube.com/watch?v=9PIOoJMMptA
"Coffeezilla: SBF, FTX, Fraud, Scams, Fake Gurus, Money, Fame, and Power | Lex Fridman Podcast #345",6951989,13578,hi9Rf0oLdHk,2022-12-08 00:00:00,https://www.youtube.com/watch?v=hi9Rf0oLdHk
Noam Brown: AI vs Humans in Poker and Games of Strategic Negotiation | Lex Fridman Podcast #344,438809,8961,2oHH4aClJQs,2022-12-06 00:00:00,https://www.youtube.com/watch?v=2oHH4aClJQs
Roger Gracie: Greatest Jiu Jitsu Competitor of All Time | Lex Fridman Podcast #343,697671,10773,FhfmGM6hswI,2022-12-03 00:00:00,https://www.youtube.com/watch?v=FhfmGM6hswI
Joe Rogan recommends Lex Fridman: Neil deGrasse Tyson is having none of it,1793623,86,jHGuXMzaARY,2022-12-02 00:00:00,https://www.youtube.com/watch?v=jHGuXMzaARY
"Todd Howard: Skyrim, Elder Scrolls 6, Fallout, and Starfield | Lex Fridman Podcast #342",2058063,9892,H9AAnV59ddE,2022-11-29 00:00:00,https://www.youtube.com/watch?v=H9AAnV59ddE
Guido van Rossum: Python and the Future of Programming | Lex Fridman Podcast #341,1186217,11751,-DVyjdw4t9I,2022-11-26 00:00:00,https://www.youtube.com/watch?v=-DVyjdw4t9I
Chris Tarbell: FBI Agent Who Took Down Silk Road | Lex Fridman Podcast #340,3035412,10562,4KiO8GRgwDk,2022-11-22 00:00:00,https://www.youtube.com/watch?v=4KiO8GRgwDk
Climate Change Debate: Bjørn Lomborg and Andrew Revkin | Lex Fridman Podcast #339,949115,15066,5Gk9gIpGvSE,2022-11-18 00:00:00,https://www.youtube.com/watch?v=5Gk9gIpGvSE
"Chamath Palihapitiya: Money, Success, Startups, Energy, Poker & Happiness | Lex Fridman Podcast #338",1574078,10644,kFQUDCgMjRc,2022-11-15 00:00:00,https://www.youtube.com/watch?v=kFQUDCgMjRc
"Destiny: Politics, Free Speech, Controversy, Sex, War, and Relationships | Lex Fridman Podcast #337",1722267,15334,bqeuFiAUU4o,2022-11-11 00:00:00,https://www.youtube.com/watch?v=bqeuFiAUU4o
"Ben Shapiro: Politics, Kanye, Trump, Biden, Hitler, Extremism, and War | Lex Fridman Podcast #336",8200125,9085,AF8DOS4C2KM,2022-11-07 00:00:00,https://www.youtube.com/watch?v=AF8DOS4C2KM
Fiona Hill: Vladimir Putin and Donald Trump | Lex Fridman Podcast #335,2138344,11965,vNhSCF9i8Qs,2022-11-04 00:00:00,https://www.youtube.com/watch?v=vNhSCF9i8Qs
"Abbas Amanat: Iran Protests, Mahsa Amini, History, CIA & Nuclear Weapons | Lex Fridman Podcast #334",423499,11157,OYsYgzzsdT0,2022-11-02 00:00:00,https://www.youtube.com/watch?v=OYsYgzzsdT0
"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast #333",2497134,12527,cdiD-9MMpb0,2022-10-29 00:00:00,https://www.youtube.com/watch?v=cdiD-9MMpb0
Kanye 'Ye' West Interview | Lex Fridman Podcast #332,5126498,8789,4AWLcxTGZPA,2022-10-24 00:00:00,https://www.youtube.com/watch?v=4AWLcxTGZPA
"Balaji Srinivasan: How to Fix Government, Twitter, Science, and the FDA | Lex Fridman Podcast #331",879458,28072,VeH7qKZr0WI,2022-10-20 00:00:00,https://www.youtube.com/watch?v=VeH7qKZr0WI
"Hikaru Nakamura: Chess, Magnus, Kasparov, and the Psychology of Greatness | Lex Fridman Podcast #330",2699027,10122,oJNvxYEcVAY,2022-10-17 00:00:00,https://www.youtube.com/watch?v=oJNvxYEcVAY
"Kate Darling: Social Robots, Ethics, Privacy and the Future of MIT | Lex Fridman Podcast #329",282855,11013,ZFntEFXKDHM,2022-10-15 00:00:00,https://www.youtube.com/watch?v=ZFntEFXKDHM
"John Danaher: Grappling, Jiu Jitsu, ADCC, and Animal Combat | Lex Fridman Podcast #328",699022,17318,iZRbD7q1n-U,2022-10-10 00:00:00,https://www.youtube.com/watch?v=iZRbD7q1n-U
"GothamChess: Hans Niemann, Magnus Carlsen, Cheating Scandal & Chess Bots | Lex Fridman Podcast #327",1271260,12798,iSMpTmibeDw,2022-10-07 00:00:00,https://www.youtube.com/watch?v=iSMpTmibeDw
"Annaka Harris: Free Will, Consciousness, and the Nature of Reality | Lex Fridman Podcast #326",504808,9580,q6zEzZCtkXw,2022-10-05 00:00:00,https://www.youtube.com/watch?v=q6zEzZCtkXw
"Michael Levin: Biology, Life, Aliens, Evolution, Embryogenesis & Xenobots | Lex Fridman Podcast #325",4179595,10821,p3lsYlod5OU,2022-10-01 00:00:00,https://www.youtube.com/watch?v=p3lsYlod5OU
Daniel Negreanu: Poker | Lex Fridman Podcast #324,2278544,8488,rKnoNfajUgM,2022-09-27 00:00:00,https://www.youtube.com/watch?v=rKnoNfajUgM
"Will Sasso: Comedy, MADtv, AI, Friendship, Madness, and Pro Wrestling | Lex Fridman Podcast #323",261247,8515,xewD1apJNhw,2022-09-24 00:00:00,https://www.youtube.com/watch?v=xewD1apJNhw
Joe Rogan and Lex Fridman at UFC 279,552670,543,NffaKHVk-yE,2022-09-23 00:00:00,https://www.youtube.com/watch?v=NffaKHVk-yE
"Rana el Kaliouby: Emotion AI, Social Robots, and Self-Driving Cars | Lex Fridman Podcast #322",188830,9381,36_rM7wpN5A,2022-09-21 00:00:00,https://www.youtube.com/watch?v=36_rM7wpN5A
"Ray Kurzweil: Singularity, Superintelligence, and Immortality | Lex Fridman Podcast #321",1252663,5771,ykY69lSpDdo,2022-09-17 00:00:00,https://www.youtube.com/watch?v=ykY69lSpDdo
"Christopher Capozzola: World War I, Ideology, Propaganda, and Politics | Lex Fridman Podcast #320",1831566,8136,SK4kMPmgKW0,2022-09-14 00:00:00,https://www.youtube.com/watch?v=SK4kMPmgKW0
"Botez Sisters: Chess, Streaming, and Fame | Lex Fridman Podcast #319",929948,9337,srUlKNLZTas,2022-09-09 00:00:00,https://www.youtube.com/watch?v=srUlKNLZTas
"Nick Lane: Origin of Life, Evolution, Aliens, Biology, and Consciousness | Lex Fridman Podcast #318",5731675,13381,tOtdJcco3YM,2022-09-07 00:00:00,https://www.youtube.com/watch?v=tOtdJcco3YM
"John Vervaeke: Meaning Crisis, Atheism, Religion & the Search for Wisdom | Lex Fridman Podcast #317",1231007,11461,yImlXr5Tr8g,2022-09-04 00:00:00,https://www.youtube.com/watch?v=yImlXr5Tr8g
"Noam Chomsky: Putin, Ukraine, China, and Nuclear War | Lex Fridman Podcast #316",1465321,2832,7uHGlfeCBbE,2022-08-31 00:00:00,https://www.youtube.com/watch?v=7uHGlfeCBbE
Magnus Carlsen: Greatest Chess Player of All Time | Lex Fridman Podcast #315,2071787,9112,0ZO28NtkwwQ,2022-08-27 00:00:00,https://www.youtube.com/watch?v=0ZO28NtkwwQ
"Liv Boeree: Poker, Game Theory, AI, Simulation, Aliens & Existential Risk | Lex Fridman Podcast #314",2041611,12940,eF-E40pxxbI,2022-08-24 00:00:00,https://www.youtube.com/watch?v=eF-E40pxxbI
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",13598365,11013,sY8aFSY2zv4,2022-08-19 00:00:00,https://www.youtube.com/watch?v=sY8aFSY2zv4
"Duncan Trussell: Comedy, Sentient Robots, Suffering, Love & Burning Man | Lex Fridman Podcast #312",3669495,11992,jdIyNMkusLE,2022-08-16 00:00:00,https://www.youtube.com/watch?v=jdIyNMkusLE
"Magatte Wade: Africa, Capitalism, Communism, and the Future of Humanity | Lex Fridman Podcast #311",440513,12784,Q6tDV3BhrcM,2022-08-13 00:00:00,https://www.youtube.com/watch?v=Q6tDV3BhrcM
Andrew Bustamante: CIA Spy | Lex Fridman Podcast #310,14001955,13989,T3FC7qIAGZk,2022-08-08 00:00:00,https://www.youtube.com/watch?v=T3FC7qIAGZk
"Ryan Graves: UFOs, Fighter Jets, and Aliens | Lex Fridman Podcast #308",4173739,9120,qLDp-aYnR1Y,2022-08-01 00:00:00,https://www.youtube.com/watch?v=qLDp-aYnR1Y
"Brian Armstrong: Coinbase, Cryptocurrency, and Government Regulation | Lex Fridman Podcast #307",556977,8964,VBPTFlpv31k,2022-07-29 00:00:00,https://www.youtube.com/watch?v=VBPTFlpv31k
Oriol Vinyals: Deep Learning and Artificial General Intelligence | Lex Fridman Podcast #306,243339,7808,aGBLRlLe7X8,2022-07-26 00:00:00,https://www.youtube.com/watch?v=aGBLRlLe7X8
"Martin Rees: Black Holes, Alien Life, Dark Matter, and the Big Bang | Lex Fridman Podcast #305",1944790,7996,50r-5ULcWgY,2022-07-23 00:00:00,https://www.youtube.com/watch?v=50r-5ULcWgY
